product,product_link,price,weight,maker,description,img_src
Hikari Miso Menraku Vegetarian Miso Ramen Noodles,https://www.japancentre.com/en/products/19661-hikari-miso-menraku-vegetarian-miso-ramen-noodles,£3.19,"185g , 2 servings",Hikari Miso,"A flavourfulramenthat doesn't contain any animal-derived ingredients. Crafted using only vegetables, it brings out rich umami flavours, offering a hearty miso-style ramen experience.",https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Nong Shim Kimchi Ramen Multipack,https://www.japancentre.com/en/products/18733-nong-shim-kimchi-ramen-multipack,£5.97,"600g , 5 packs",Nong Shim,Featuring the rich flavours of crunchy Napa cabbage kimchi with a mild level of spiciness.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Extremely Spicy Hot Chicken Flavoured Ramen Noodles Multi-Pack,https://www.japancentre.com/en/products/15449-samyang-foods-buldak-extremely-spicy-hot-chicken-flavoured-ramen-noodles-multi-pack,£6.69,"700g , 5 packs",Samyang Foods,Super spicy chicken flavoured stir fried to burn your hunger away.,"https://cdn.media.amplience.net/i/japancentre/15460-1-Samyang-Foods-Hot-Chicken-Flavoured-Ramen-Noodles,-Big-Bowl (2)?w=250&h=250&sm=c&fmt=auto"
Garak Stir Fried Hot Chicken Ramen,https://www.japancentre.com/en/products/19822-garak-stir-fried-hot-chicken-ramen,£1.19,130g,GARAK,"Experience intense heat and savoury flavour with this instant Korean hot chicken ramen. Quick to prepare, these chewy noodles bring bold spice to every bite. Ideal for fans of spicy food, it’s a satisfying and flavourful meal that delivers top-notch taste in minutes.",https://cdn.media.amplience.net/i/japancentre/18759-1-samyang-foods-hot-chicken-ramen-double-spicy-multi-pack?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Instant Hot Chicken Flavour Ramen With Kimchi,https://www.japancentre.com/en/products/18137-samyang-foods-buldak-instant-hot-chicken-flavour-ramen-with-kimchi,£6.45,"675g , 5 packs",Samyang Foods,Tantalisingly spicy and tangy ramen.,https://cdn.media.amplience.net/i/japancentre/18759-1-samyang-foods-hot-chicken-ramen-double-spicy-multi-pack?w=250&h=250&sm=c&fmt=auto
Nissin Soba Fried Noodles Teriyaki Yakisoba (UK),https://www.japancentre.com/en/products/11146-nissin-soba-fried-noodles-teriyaki-yakisoba-uk,£1.06,110g,Nissin Foods,A meatieryakisobaflavour.,https://cdn.media.amplience.net/i/japancentre/11148-1-Nissin-Soba-Fried-Noodles-Chilli-Yakisoba-(UK)?w=250&h=250&sm=c&fmt=auto
Nong Shim Neoguri Seafood And Spicy Noodle,https://www.japancentre.com/en/products/10938-nong-shim-neoguri-seafood-and-spicy-noodle,£4.40,600g,Nong Shim,Instant noodles with intense flavour.,https://cdn.media.amplience.net/i/japancentre/4759-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen-Multipack?w=250&h=250&sm=c&fmt=auto
Nong Shim Soon Veggie Ramyun Noodles,https://www.japancentre.com/en/products/19988-nong-shim-soon-veggie-ramyun-noodles,£1.39,112g,Nong Shim,"Enjoy a clean, refreshing flavour crafted entirely from vegetables. Free from meat ingredients, this ramyun offers a lighter, more delicate taste compared to traditional varieties. Its mild spice level makes it perfect for those who prefer a gentle, savoury experience.",https://cdn.media.amplience.net/i/japancentre/17125-1-Yamadai-New-Touch-T's-Vegan-Soy-Sauce-Ramen?w=250&h=250&sm=c&fmt=auto
Nong Shim Kimchi Noodle Soup Ramen (Kimuchi Ramen),https://www.japancentre.com/en/products/2797-nong-shim-kimchi-noodle-soup-ramen-kimuchi-ramen,£1.25,120g,Nong Shim,Nong Shim instant ramen noodles are a Korean brand of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving and a sachet of hot and spicy kimchi flavour Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
Nissin Soba Fried Noodles Chilli Yakisoba (UK),https://www.japancentre.com/en/products/11148-nissin-soba-fried-noodles-chilli-yakisoba-uk,£1.06,111g,Nissin Foods,A spicier type of fried noodle.,https://cdn.media.amplience.net/i/japancentre/11145-1-Nissin-Soba-Fried-Noodles-Classic-Yakisoba?w=250&h=250&sm=c&fmt=auto
Nong Shim Soon Veggie Ramyun Noodles,https://www.japancentre.com/en/products/17005-nong-shim-soon-veggie-ramyun-noodles,£5.79,"560g , 5 servings",Nong Shim,"Spicy, umami ramen made suitable for vegans",https://cdn.media.amplience.net/i/japancentre/4759-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen-Multipack?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Hot Chicken Flavour Double Spicy Ramen Multipack,https://www.japancentre.com/en/products/18759-samyang-foods-buldak-hot-chicken-flavour-double-spicy-ramen-multipack,£6.79,"700g , 5 packs",Samyang Foods,A tantalizingly spicy chicken-flavoured ramen that will leave you craving for more.,https://cdn.media.amplience.net/i/japancentre/19822-1-garak-stir-fried-hot-chicken-ramen?w=250&h=250&sm=c&fmt=auto
Yamamoto Seifun Tanuki Oyaji no Ippin Super Spicy Mazemen Yakisoba Noodles,https://www.japancentre.com/en/products/19616-yamamoto-seifun-tanuki-oyaji-no-ippin-super-spicy-mazemen-yakisoba-noodles,£8.49,"440g , 5 servings",Yamamoto Seifun,"This yakisoba noodles is characterised by its distinctive firm noodles and the addictive, numbing spiciness of its Sichuan pepper and chilli.",https://cdn.media.amplience.net/i/japancentre/19610-1-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-spicy-ramen-noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Akai Kitsune Udon with Fried Tofu,https://www.japancentre.com/en/products/580-maruchan-akai-kitsune-udon-with-fried-tofu,£3.99,96g,Maruchan,"A Japanese classic, ready in minutes.",https://cdn.media.amplience.net/i/japancentre/2957-1-Miyakoichi-Pre-Cooked-Udon?w=250&h=250&sm=c&fmt=auto
Nissin Raoh Instant Yuzu and Salt Ramen,https://www.japancentre.com/en/products/20034-nissin-raoh-instant-yuzu-and-salt-ramen,£6.99,"279g , 3 packs",Nissin Foods,"Made with carefully selected ingredients, including yuzu peel from Kochi Prefecture, this yuzu shio ramen features a savoury broth packed with the richness of chicken and kombu. The refreshing aroma of Kochi yuzu peel enhances every bite.",https://cdn.media.amplience.net/i/japancentre/19980-1-nissin-raoh-instant-tonkotsu-soy-sauce-ramen (1)?w=250&h=250&sm=c&fmt=auto
"Nong Shim Hot & Spicy Shin Ramen, Large",https://www.japancentre.com/en/products/2189-nong-shim-hot-spicy-shin-ramen-large,£1.85,114g,Nong Shim,Nong Shim instant ramen noodles are a Korean variety of noodle flavoured with spicy chilli. This large serving of instant ramen noodles contains plenty of dried ramen and a sachet of hot and spicy Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
Daikoku Foods Salt Ramen,https://www.japancentre.com/en/products/6608-daikoku-foods-salt-ramen,£5.35,"400g , 5 packs",Daikoku Foods,"Simple salty soup stock ramen, the way it was meant to be! This value pack contains five mouthwatering servings of instant ramen noodles, with each packet also coming with a sachet of powdered chicken and vegetable soup stock. Delicious, warming and ready to eat in next to no time, these are theramen noodlesfor everyone. Enjoy as a snack or light meal.",https://cdn.media.amplience.net/i/japancentre/11140-1-Nissin-Demae-Iccho-Chicken-Ramen?w=250&h=250&sm=c&fmt=auto
Maruchan Non-Fried Chicken Soy Sauce Ramen,https://www.japancentre.com/en/products/4467-maruchan-non-fried-chicken-soy-sauce-ramen,£4.20,97g,Maruchan,Theramen noodlesare ready in four minutes.,https://cdn.media.amplience.net/i/japancentre/17016-1-Hikari-Menraku-Japanese-Soy-Sauce-Ramen?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Carbonara Hot Chicken Flavour Ramen Multi-Pack,https://www.japancentre.com/en/products/19999-samyang-foods-buldak-carbonara-hot-chicken-flavour-ramen-multi-pack,£9.99,"650g , 5 packs",Samyang Foods,"Samyang Buldak Carbonara Ramen combines bold Korean spice with creamy Italian flavours. Chewy noodles in a velvety, cheesy carbonara sauce deliver the perfect balance of heat and richness. The rich cream sauce balances the fiery heat of the original Buldak stir-fried noodles, making it a perfect choice even for those sensitive to spicy foods.",https://cdn.media.amplience.net/i/japancentre/15449-1-Samyang-Foods-Extremely-Spicy-Hot-Chicken-Buldok-Ramen-Multi-Pack?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Salt Ramen,https://www.japancentre.com/en/products/5836-maruchan-seimen-salt-ramen,£11.49,"560g , 5 packs",Maruchan,"Stock up on tasty noodles with this multi pack of salt flavour ramen! This pack contains five packets of ramen noodles with a sachet of liquid broth containing salt, savoury chicken stock and umami rich seasonings. A packet of these noodles makes for a perfect snack or light dinner. Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/14341-1-Hikari-Miso-Menraku-Vegetarian-Soy-Sauce-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Nissin Donbei Kitsune Udon with Fried Tofu,https://www.japancentre.com/en/products/5520-nissin-donbei-kitsune-udon-with-fried-tofu,£4.49,95g,Nissin Foods,Classic Japanese udon dishes in an instant.,https://cdn.media.amplience.net/i/japancentre/15457-1-Nong-Shim-Tempura-Udon-Noodle-Soup?w=250&h=250&sm=c&fmt=auto
Nissin Raoh Soy Sauce Ramen,https://www.japancentre.com/en/products/5513-nissin-raoh-soy-sauce-ramen,£10.99,"505g , 5 packs",Nissin Foods,"Instant noodles fit for a king! This pack contains five portions of ramen noodles and a liquid soy sauce seasoning. All you need are fresh garnishes of pork, spring onion and half a hard boiled egg and you have a delicious bowl of soy sauce ramen! Alternatively, skip the garnishes and enjoy on its own. Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/17016-1-Hikari-Menraku-Japanese-Soy-Sauce-Ramen?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Yakisoba Noodles,https://www.japancentre.com/en/products/18333-maruchan-seimen-yakisoba-noodles,£11.49,"550g , 5 packs",Maruchan,5 saucy servings of irresistible yakisoba noodles.,https://cdn.media.amplience.net/i/japancentre/11145-1-Nissin-Soba-Fried-Noodles-Classic-Yakisoba?w=250&h=250&sm=c&fmt=auto
Nong Shim Kimchi Ramyun Noodle Soup,https://www.japancentre.com/en/products/16420-nong-shim-kimchi-ramyun-noodle-soup,£1.39,75g,Nong Shim,Experience the bracing crispness of kimchi-topped ramen.,https://cdn.media.amplience.net/i/japancentre/2797-1-Nong-Shim-Kimchi-Noodle-Soup-Ramen-(Kimuchi-Ramen)?w=250&h=250&sm=c&fmt=auto
Nissin Raoh Miso Ramen,https://www.japancentre.com/en/products/6412-nissin-raoh-miso-ramen,£10.99,"495g , 5 packs",Nissin Foods,"Instant noodles that are so good, you could serve them to a king! This pack contains five packets of thick, straight-style non-fried instant ramen noodles, each with a large sachet of umami rich liquid miso seasoning. To complete the picture, all you need are fresh garnishes of pork bites, half a boiled egg, and spring onions. Enjoy as a warming snack or as part of a larger meal, theramen noodlesare your best choice.",https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Tonkotsu Pork Stock Ramen,https://www.japancentre.com/en/products/4715-maruchan-seimen-tonkotsu-pork-stock-ramen,£11.49,"445g , 5 packs",Maruchan,"5 servings of tonkotsu flavour ramen noodles with traditional, creamy tonkotsu pork stock soup with a touch of garlic. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/18981-1-japan-centre-chocolate-mochi-brownie?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Soy Sauce Ramen,https://www.japancentre.com/en/products/4714-maruchan-seimen-soy-sauce-ramen,£11.49,"525g , 5 packs",Maruchan,"5 servings of soy sauce flavour ramen noodles with a chicken and pork stock based soup, made with rich soy sauce and a delicious garlic and ginger taste. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/19071-1-frozen-sato-shokuhin-kogyo-barley-natto-fermented-soybeans?w=250&h=250&sm=c&fmt=auto
Myojo Hyobanya Kasanedashi Miso Ramen,https://www.japancentre.com/en/products/19987-myojo-hyobanya-kasanedashi-miso-ramen,£8.99,"430g , 5 packs",Myojo,Indulge in a bowl of satisfaction without compromising on flavour. This noodle dish features:,https://cdn.media.amplience.net/i/japancentre/18498-1-Plastic-Miso-Soup-Bowl-Black-and-Burgundy-Red-Tortoiseshell-Pattern?w=250&h=250&sm=c&fmt=auto
Myojo Charumera Salt Ramen,https://www.japancentre.com/en/products/19984-myojo-charumera-salt-ramen,£8.99,"425g , 5 packs",Myojo,"The noodles' flavour has been intensified, highlighting the umami of scallops combined with a chicken bone broth for a rich and smooth salt-based soup.",https://cdn.media.amplience.net/i/japancentre/19821-1-garak-carbo-stir-fried-hot-chicken-ramen?w=250&h=250&sm=c&fmt=auto
Young Poong Yopokki Cheese Topokki Rice Cakes,https://www.japancentre.com/en/products/19475-young-poong-yopokki-cheese-topokki-rice-cakes,£2.49,120g,Young Poong Foods,,https://cdn.media.amplience.net/i/japancentre/19477-1-young-poong-yopokki-bulgogi-topokki-rice-cakes?w=250&h=250&sm=c&fmt=auto
Nissin Donbei Instant Curry Udon,https://www.japancentre.com/en/products/18364-nissin-donbei-instant-curry-udon,£4.49,86g,Nissin Foods,"Create creamy, meaty curry udon at home with ease.",https://cdn.media.amplience.net/i/japancentre/17888-1-Itsuki-Pre---Cooked-Udon-Noodles-With-Soup?w=250&h=250&sm=c&fmt=auto
Hikari Menraku Japanese Tonkotsu Pork Stock Flavour Ramen,https://www.japancentre.com/en/products/17008-hikari-menraku-japanese-tonkotsu-pork-stock-flavour-ramen,£3.59,82g,Hikari Miso,An instant helping of succulent tonkotsuramen noodles.,https://cdn.media.amplience.net/i/japancentre/17006-1-Hikari-Menraku-Japanese-Spicy-Miso-Tonkotsu-Pork-Stock-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Maruchan Midorino Tanuki Soba With Tempura,https://www.japancentre.com/en/products/16063-maruchan-midorino-tanuki-soba-with-tempura,£4.99,98g,Maruchan,A traditional soba noodle dish served up within minutes.,https://cdn.media.amplience.net/i/japancentre/11350-1-Kanesu-Tororo-Soba?w=250&h=250&sm=c&fmt=auto
Itsuki Kumamoto Style Red Hot Spicy Ramen (Akakara),https://www.japancentre.com/en/products/14184-itsuki-kumamoto-style-red-hot-spicy-ramen-akakara,£2.20,"103g , 1 serving",Itsuki,Ramen noodles that turn up the heat.,https://cdn.media.amplience.net/i/japancentre/14217-1-Itsuki-Kumamoto-Justice-Tonkotsu-Pork-Style-Stock-Ramen?w=250&h=250&sm=c&fmt=auto
Sanyo Foods Pokemon Soy Sauce Ramen,https://www.japancentre.com/en/products/12765-sanyo-foods-pokemon-soy-sauce-ramen,£3.20,38g,Sanyo,For the Pokemon fan.,https://images.japancentre.com/images/pics/15327/medium/13035_Tohato_Pokemon_Chocolate_Flavoured_Corn_Puffs.jpg
Daikoku Foods Miso Ramen,https://www.japancentre.com/en/products/6507-daikoku-foods-miso-ramen,£5.35,"405g , 5 packs",Daikoku Foods,"Enjoy the richly satisfying taste of miso every day this week! This value pack contains five single-serve packets of instant ramen, each with their own sachet of miso flavoured soup seasoning. To give the seasoning extra flavour, umami-rich ingredients such as pork stock and fish sauce have also been added. There is no finer way to recharge atramen noodles!",https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Chicken Stock Salt Ramen,https://www.japancentre.com/en/products/6408-maruchan-chicken-stock-salt-ramen,£4.20,87g,Maruchan,"Theramen noodleswith so much umami flavour, all in just 4 minutes.",https://cdn.media.amplience.net/i/japancentre/11140-1-Nissin-Demae-Iccho-Chicken-Ramen?w=250&h=250&sm=c&fmt=auto
"Maruchan Midorino Tanuki Soba with Tempura, Large",https://www.japancentre.com/en/products/635-maruchan-midorino-tanuki-soba-with-tempura-large,£5.20,146g,Maruchan,Authentic Japanesesoba noodlesin minutes.,https://cdn.media.amplience.net/i/japancentre/11350-1-Kanesu-Tororo-Soba?w=250&h=250&sm=c&fmt=auto
Maruchan Midorino Tanuki Soba With Tempura,https://www.japancentre.com/en/products/634-maruchan-midorino-tanuki-soba-with-tempura,£3.99,99g,Maruchan,Low on time but big on authentic flavour? Get a little taste of real Japan with these 3 minute buckwheat soba noodles with rich soy sauce soup and prawn and green laver tempura.,https://cdn.media.amplience.net/i/japancentre/11350-1-Kanesu-Tororo-Soba?w=250&h=250&sm=c&fmt=auto
Maruchan Chikara Udon with Mochi Rice Cake,https://www.japancentre.com/en/products/6108-maruchan-chikara-udon-with-mochi-rice-cake,£3.99,109g,Maruchan,"Unleash your power in just five minutes! One of the most popularudon noodlevarieties, chikara udon, or ‘power’ udon, refers to udon that is topped with glutinous rice cakes. Let the mochi melt in the hot soup, and chew thoroughly before swallowing! These udon noodles are perfect for a light lunch or afternoon snack.",https://cdn.media.amplience.net/i/japancentre/15457-1-Nong-Shim-Tempura-Udon-Noodle-Soup?w=250&h=250&sm=c&fmt=auto
"Maruchan Akai Kitsune Udon with Fried Tofu, Small",https://www.japancentre.com/en/products/5428-maruchan-akai-kitsune-udon-with-fried-tofu-small,£2.89,41g,Maruchan,"The Japanese have come up with pot noodles that will put your local supermarket to shame! Try this 3 minuteudon noodlewith a soy sauce soup and added seasoned fried soy bean curd, spring onion and red pepper. This one comes in a smaller size, perfect for enjoying with a sandwich or as part of a bento.",https://cdn.media.amplience.net/i/japancentre/15457-1-Nong-Shim-Tempura-Udon-Noodle-Soup?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Miso Ramen,https://www.japancentre.com/en/products/4713-maruchan-seimen-miso-ramen,£11.49,"540g , 5 packs",Maruchan,"5 servings of miso flavour ramen noodles with a flavour pork stock based soup, made with a well balanced blend of red and white miso and just a hint of ginger. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Non-Fried Mixed Miso Ramen,https://www.japancentre.com/en/products/4468-maruchan-non-fried-mixed-miso-ramen,£4.20,104g,Maruchan,Heartily warming and a cinch to make.,https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Nong Shim Cham Pong Ramen,https://www.japancentre.com/en/products/2798-nong-shim-cham-pong-ramen,£1.29,124g,Nong Shim,"Test the strength of your tastebuds against the fiery king of fusion cuisine. With the winning combo of Chinese style ramyun noodles and Korean style spicy seafood broth, you get the best of both worlds with this Cham Pong noodle soup. Try this instant version with seafood, spring onion, seaweed, sesame and garlic. Easily enjoy the tastyramen noodlesin a few minutes. English, French and German cooking instructions on the reverse of the packet. Made in Korea.",https://cdn.media.amplience.net/i/japancentre/2773-1-Nong-Shim-Neoguri-Seafood-and-spicy-ramen?w=250&h=250&sm=c&fmt=auto
Myojo Hyobanya Kasanedashi Shio Ramen,https://www.japancentre.com/en/products/19986-myojo-hyobanya-kasanedashi-shio-ramen,£8.99,"425g , 5 packs",Myojo,This bagged ramen offers a perfect balance of taste and texture:,https://cdn.media.amplience.net/i/japancentre/18733-1-Nong-Shim-Kimchi-Ramyun-Multi-Pack?w=250&h=250&sm=c&fmt=auto
Myojo Hyobanya Kasanedashi Shoyu Ramen,https://www.japancentre.com/en/products/19985-myojo-hyobanya-kasanedashi-shoyu-ramen,£8.99,"430g , 5 packs",Myojo,"This soy sauce ramen delivers exceptional taste by layering the umami of chicken, bonito, and vegetable dashi, creating a flavorful and satisfying soup.",https://cdn.media.amplience.net/i/japancentre/14341-1-Hikari-Miso-Menraku-Vegetarian-Soy-Sauce-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Yamamoto Seifun Tanuki Oyaji no Ippin Yakisoba Stir Fry Noodles,https://www.japancentre.com/en/products/19617-yamamoto-seifun-tanuki-oyaji-no-ippin-yakisoba-stir-fry-noodles,£9.99,"435g , 5 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19610-1-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-spicy-ramen-noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Tonkotsu Soy Sauce Ramen,https://www.japancentre.com/en/products/18338-maruchan-seimen-tonkotsu-soy-sauce-ramen,£11.49,"505g , 5 packs",Maruchan,5 succulent servings of soy sauce enriched tonkotsu pork ramen.,https://cdn.media.amplience.net/i/japancentre/17270-1-Ace-Cook-Ippin-Tonkotsu-Ramen-Cup-Noodles-Side?w=250&h=250&sm=c&fmt=auto
Maruchan Menzukuri Rich Tonkotsu Ramen,https://www.japancentre.com/en/products/18337-maruchan-menzukuri-rich-tonkotsu-ramen,£4.20,87g,Maruchan,A bowl of umami-rich tonkotsu ramen.,https://cdn.media.amplience.net/i/japancentre/17006-1-Hikari-Menraku-Japanese-Spicy-Miso-Tonkotsu-Pork-Stock-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen,https://www.japancentre.com/en/products/16011-samyang-foods-extra-spicy-hot-chicken-flavoured-ramen,£1.59,70g,Samyang Foods,An extra spicy hot chicken stir fry sensation.,https://images.japancentre.com/images/pics/21300/medium/16422-Samyang_Foods_Extra_Spicy_Hot_Chicken_Flavoued_Ramen_Big_Bowl.jpg
Nong Shim Chapaghetti Instant Black Spaghetti,https://www.japancentre.com/en/products/10939-nong-shim-chapaghetti-instant-black-spaghetti,£1.25,140g,Nong Shim,A heartier kind of instant noodle.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
